song_id,song_name,popularity,danceability,energy,valence,acousticness,speechiness,artists,is_billboard
3DV49ruvI5Sl6iisPZAc2c,Hooked,67,0.597,0.721,0.437,0.0362,0.0356,Dylan Scott,True
7wBJfHzpfI3032CSD7CE2m,STARGAZING,77,0.487,0.789,0.0564,0.00947,0.044,Travis Scott,True
3oDkdAySo1VQQG0ptV7uwa,Lean Wit Me,77,0.665,0.651,0.237,0.0414,0.156,Juice WRLD,True
5bJ1DrEM4hNCafcDd1oxHx,Self Care,76,0.52,0.538,0.177,0.367,0.206,Mac Miller,True
2jt2WxXMCD4zjACthkJQVE,The Ringer,73,0.939,0.551,0.42,0.0311,0.291,Eminem,True
2VIPU72L6tIR4w8J8ap6Kp,Mercy,70,0.638,0.367,0.219,0.84,0.0266,Brett Young,True
7B9UAoGiN4iMCv4s40xoiM,Cry Pretty,58,0.374,0.742,0.21,0.00517,0.0432,Carrie Underwood,True
2gsNpSn7VvvJuSrIDfRoYy,Kamikaze,70,0.78,0.808,0.642,0.112,0.484,Eminem,True
7uzmGiiJyRfuViKKK3lVmR,Mine,80,0.71,0.789,0.717,0.0161,0.0722,Bazzi,True
5p7GiBZNL1afJJDUrOA6C8,Hurt Feelings,70,0.69,0.462,0.325,0.343,0.13,Mac Miller,True
2XTquzYQAdT1Hk78bOUwsv,Greatest,70,0.809,0.737,0.367,0.0441,0.108,Eminem,True
01z2fBGB8Hl3Jd3zXe4IXR,Come Back to Earth,70,0.272,0.238,0.119,0.89,0.0349,Mac Miller,True
7p4vHnYXkxlzvfePJVpcTr,Feels Like Summer,73,0.554,0.596,0.255,0.162,0.13,Childish Gambino,False
3qN5qMTKyEEmiTZD38BNTT,I'm Upset,73,0.899,0.586,0.492,0.279,0.344,Drake,True
0wbnC9AUenxp613TYaJsGK,Narcos,73,0.936,0.588,0.238,0.0146,0.136,Migos,True
0evt4UZbdhnHtcAnxkm6A1,Normal,66,0.907,0.64,0.803,0.261,0.354,Eminem,True
60Z57Wdrn0pEVpHI7d7GAX,Stepping Stone,67,0.616,0.684,0.312,0.0305,0.311,Eminem,True
4j3GWI86JvSaF0BLdmgcfF,Summertime Magic,73,0.76,0.579,0.125,0.0129,0.0569,Childish Gambino,False
08bNPGLD8AhKpnnERrAc6G,FRIENDS,82,0.626,0.88,0.534,0.205,0.0504,"Marshmello, Anne-Marie",False
4eWQlBRaTjPPUlzacqEeoQ,Never Be the Same,75,0.637,0.713,0.243,0.181,0.0747,Camila Cabello,True
0JP9xo3adEtGSdUEISiszL,Moonlight,84,0.921,0.537,0.711,0.556,0.0804,XXXTENTACION,True
2ZFrEp20VO25BXYhMxh0GW,Get Along,56,0.602,0.805,0.322,0.0997,0.0473,Kenny Chesney,False
33b2wX9d0kxqxhi7lcsC1A,Unica,72,0.653,0.859,0.705,0.212,0.0449,Ozuna,True
7AFASza1mXqntmGtbxXprO,changes,82,0.669,0.308,0.52,0.883,0.029,XXXTENTACION,True
5ubwXXOsH9bUhZsQ0Cybha,Level Up,69,0.746,0.825,0.584,0.0142,0.169,Ciara,False
4mHgYpuGHu99Mw69E83CP2,Taking A Walk,74,0.767,0.538,0.343,0.68,0.052,Trippie Redd,True
79Mjfhh393dZdAsTvUFDR6,Don't Go Breaking My Heart,60,0.541,0.703,0.238,0.0218,0.102,Backstreet Boys,False
7rC5Pl8rQSX4myONQHYPBK,Mob Ties,73,0.755,0.575,0.49,0.0456,0.0678,Drake,True
0b9oOr2ZgvyQu88wzixux9,This Is America,75,0.854,0.463,0.549,0.117,0.137,Childish Gambino,False
